ሰላም ለኪ	nagaan isiniif haa ta'u
ከመ እግዚአብሔር አምላኩ ለእግዚእነ ኢየሱስ ክርስቶስ አበ ስብሐት የሀብክሙ መንፈሰ ጥበብ ወይክሥት ለክሙ ታእምሩ	waaqayyo gooftaa keenyaa yesus kristos abbaan ulfinaa hafuura ogeessota isin godhu waaqayyoon beekuus isa isinitti mul'isu akka isiniif kennuuf nan kadhadha
ወይቤላ እግዚእ ኢየሱስ ኅድጊ ቅድመ ምዕረ ይጽገቡ ውሉድ እስመ ኢኮነ ሠናየ ነሢአ ኅብስተ ውሉድ ወውሂብ ለከለባት	yommus inni dura ijoollonni nyaatanii haa quufan buddeena ijoollotaa fuudhanii sarootaaf darbachuun ba'eessa miti isheedhaan jedhe
ወይቤሎሙ እመቦ አሐዱ እምኔክሙ ለእመ ወድቆ ላሕሙ አው አድጉ ውስተ ዐዘቅት አኮኑ በጊዜሃ ያነሥኦ በዕለተ ሰንበት	kana booddee iyyasuusgara isaaniitti gara galee isin keessaa mucaan isaa yookiis horiin isaa boolla bishaanii keessa yoo duraa bu'e guyyaa sanbataatti iyyuu achumaan kan hin baafne jiraa ree jedheen
ወበእንተ ዝንቱ ትቤ ጥበቢሁ ለእግዚአብሔር ናሁ አነ እፌኑ ኀቤሆሙ ነቢያተ ወሐዋርያተ ወይቀትሉ እምኔሆሙ ወይሰድዱ	waaqayyo ogummaa isaatiin akkuma dubbate raajotaa fi ergamoota isaanittan erga kan ergaman keessaa kaan in ajjeesu kaanis in ari'atu jedhe
ወለመኳንንትኒ እስመ ውእቱ ይፌንዎሙ ከመ ይኰንንዎሙ ለእለ ይገብርዋ ለእኪት ወያእኵትዎሙ ለእለ ይገብርዋ ለሠናይት	warra abboota biyyaa ta'anii namoota waan jal'aa hojjetan adabuuf namoota waan qajeelaa hojjetan immoo galateeffachuuf isa biraa ergamaniifis abboomamaa
ለክሙ ውእቱ ክብር ለእለ ተአምኑ ወለእለሰ ይክሕዱ እብን እንተ መነንዋ ነደቅት ይእቲ ኮነት ውስተ ርእሰ ማዕዘንት	isin warra itti amantaniif dhagaan kun gatii guddaa qaba warra itti hin amanneef garuu caaffanni qulqullaa'aan akkuma jedhuttidhagichi mana ijaartuun tuffatan inni dhagaa mataa golee qajeelchu ta'e
ወባሕቱ ይቤሎሙ ኢታሕምሙ ምዕረሰ ኢምድረ ወኢባሕረ ወኢዕፀታተ እስከ ይትኀተሙ አግብርተ እግዚአብሔር ውስተ ፍጽሞሙ	hamma nuyi adda hojjetoota waaqayyo keenyaatti mallattoo goonutti lafa galaana mukas hin miidhinaa isaaniin jedhe
ውእቱ ወሀቦ ለያዕቆብ ቊልዔሁ ወለእስራኤል ቅዱሱ ወእምዝ አስተርአየት ዲበ ምድር ወአንሶሰወት ከመ ዕጓለ ሕመሕያው	innis yaaqoob isa hin guutamneef fi israa'el qulqullootaaf kennesana booda lafa irratti mul'attee akka namaatti deemte
ወዝንቱ ውእቱ ረድእ ዘኮነ ሰማዕተ በእንተዝ ወዘሂ ጸሐፈ በእንቲኣሁ ዘንተ ወንሕነ ነአምር ከመ ጽድቅ ውእቱ ስምዑ	inni dubbii kanaaf dhugaa ba'u kan kana hundumaa caafes bartuudhuma kana nuyis akka dhugaan isaa amanamaa ta'e in beekna
አምኁ እንድራኒቆን ወዩልያን እለ አዝማድየ ወተፄወዉ ምስሌየ ወየአምርዎሙ ሐዋርያት ከመ ቀዲሙኒ ተልእኩ ለክርስቶስ	andronikosii fi yuniyaas yihudoota warra akka kootii warra anaa wajjin hidhamanii turaniif nagaa koo anaaf dhi'eessaa isaan ergamoota keessaa beekamoo dha ana dura kan kristos ta'anis
ወእምነ ዝንቱ ሠለስቱ ሕማም ሞተ ሣልስተ እዴሁ ለዕጓለ እመሕያው እምነ እሳት ወጢስ ወተይ ዘይወፅእ እምነ አፉሆሙ	ibidda aara dhagaa boba'u dha'icha sadan afaan fardeenii keessaa ba'an sanaan namoota harka sadii keessaa harka tokkotu ajjeeffame
ወዘአስሐቶ ለአሐዱ እምእሉ ንኡሳን እለ የአምኑ ብየ ይኄይሶ ይስቅሉ ማኅረጸ አድግ በክሣዱ ወያስጥምዎ ውስተ ባሕር	iyyasuusitti fufee eenyu illee warra xixinnaa anatti amanan kana keessaa tokko gufachiisuu irra dhagaan daakuu guddaan morma isaatti hidhamee galaana keessatti utuu darbatamee isaa wayya ture
ወአሐቲ እምነ አርእስቲሁ እንተ ተረግዘት በሞት ወቍስለ ሞቱሰ ሐይወ ወአንከረቶ ኵላ ምድር ወተለውዎ ለውእቱ አርዌ	mataa isaa torban keessaa inni tokko hamma du'aatti waan madaa'e in fakkaata rukuttaan du'aan ga'u sunis deebi'ee fayye ture namoonni guutummaa biyya lafaa dinqifatanii yaadaan bineensicha duukaa bu'an
ማዕከለ ዛቲ ቅድስት ቤተ ክርስትያኑ ይወልጦሙ በቅጽበት አባላተ ክርስቶስ ይኩኑ በኃይለ ጥበቡ መንክር ወዕጹብ ኪኑ	ogummaa ajaa'ibsiisaa fi ogummaa ajaa'ibsiisaa isaatiin battalumatti waldaa isaa qulqulluu gidduutti miseensa kiristoos akka ta'an ni jijjiira
ወይመስሎሙ ከመ ዘበፍኖት ሀሎ ምስለ ሰብእ ወበጺሖሙ ኀሠሥዎ በዕለታ ኀበ አዝማዲሁ ወኀበ እለ የአምርዎ ወኢረከብዎ	miiltoo wajjin waan jiru se'anii adeemsa guyyaa tokkoo erga adeemanii firoota isaanii bira warra ijaan beekan biras in iyyaafatan
እንዘ ትሴፈዉ ዕለተ ምጽአቱ ለእግዚአብሔር እንተ ባቲ ሰማያትኒ ይረስና ወይትመሰዋ ወኵሉ ፍጥረት ይውዒ ወይትመሰው	akkasitti jiraattanii dhufa guyyaa waaqayyoo in eeggattu isaafis ariifattanii in hojjettu guyyaa sanaafis bantiiwwan waaqaa ibiddaan gubatanii wal in gaddhiisu ijoon uumama lubbuu hin qabne hundinuus ho'a ibiddaatiin in baqa
ኢየሱስ ክርስቶስ ቃል ዘተሰብኣ ወኃደረ ላዕሌነ ወርኢነ ስብሓቱሁ ከመ ስብሕተ አሐዱ ዋሕድ ለኣቡሁ ሠምረ ይሣሃለነ	nama kan taee fi jechi nurra bule iyyasuus kiristoosi dha kabajasaa isa abbaa isaaf tokko tae ni argine cubbuu keenya nuu dhisuuf jaallate
ወሰመዮ እግዚአብሔር ለውእቱ ጠፈር ሰማይ ወርእየ እግዚአብሔር ከመ ሠናይ ወኮነ ሌሊተ ወጸብሐ ወኮነ ክልኤተ ዕለተ	waaqayyo bantii sana waaqa jedhee in moggaase galgallis ta'e ganamnis ta'e kun guyyaa lammaffaa dha
ወዘንተ እንዘ ይብሎሙ ተለዐለ ወነሥአቶ ደመና ወዐርገ ሰማየ እንዘ እሙንቱ ይኔጽሩ ኀቤሁ ወተሰወረ እምአዕይንቲሆሙ	dubbii kana dubbatees utuma isaan ilaalanii gara waaqaatti ol fudhatame duumessi isa simate ija isaanii duraas in dhokse
ወዘተናገርክምዎ በጽልመት ይትናገርዎ በብርሃን ወይሰማዕ ወዘሂ አልኆሰስክሙ በእዝን ይሰብክዎ በአጽራሕ ወበአንሕስት	kanaafis waan isin dukkana keessatti dubbattan ifa guyyaatti ba'ee in dhaga'ama mana cufamaa keessatti gurra namaatti kan hasaaftan iddoo ol jedhaa irratti lallabamee in dhageessifama jedhe
ወእመሰ አነ በብዔል ዜቡል አወፅኦሙ ለአጋንንት ውሉድክሙ በምንት ያወፅእዎሙ ወበእንተዝ እሙንቱ ፈታሕተ ይከውኑክሙ	yoo ani humna bi'el zebuliin hafuurota hamoota baase ijoolleen keessan immoo humna eenyuutiin isaan baasu kanaafis ijoolleedhumti keessan isinitti in farachiisu
ወአውሥአ እግዚእ ኢየሱስ ወይቤሎሙ አኮኑ አነ ኀረይኩክሙ ለዐሠርቱ ወክልኤቱ ወባሕቱ አሐዱ እምኔክሙ ሰይጣን ውእቱ	iyyasuusimmoo ani kudha lamaan keessan fo'adheera mitii isin keessaa tokko garuu seexana isaaniin jedhe
ወርእይዎሙ እንዘ የሐውሩ ወአእመርዎሙ ብዙኃን ወሖሩ እንተ እግር ኀቤሁ እምኵሉ አህጉር ወተቃደምዎሙ ወመጽኡ ኀቤሁ	namoonni utuu isaan adeemanii waan arganiif baay'een kana hubatan warri mandaroota hundumaa keessaa dhufan miillaan fiiganii karaa lafaa naanna'anii isaan duras iddoo sana in ga'an
ወይቤሉ አኮኑ ዝንቱ ውእቱ ኢየሱስ ወልደ ዮሴፍ ዘለሊነ ነአምር አባሁ ወእሞ ወእፎ እንከ ይብለነ እምሰማይ ወረድኩ	isaan kun iyyasuusilma yoseef isa abbaa isaa fi haadha isaa beeknu mitii amma attamitti waaqaraan gad bu'e jedha ree jedhan
ወአጽንዑ አኀወ በነገር ዘተርፈ በቃሎሙ ወመሀርዎሙ ይሁዳ ወሲላስ እስመ ነቢያት እሙንቱ ወአጽንዕዎሙ ለቢጾሙ በቃሎሙ	yihudaanii fi siilaas lallaboota warri turan dubbii baay'ee amantoota gorsanii isaan cimsan
ወነጸረ ኀቤሁ ወፈርሀ ወይቤ ምንተ ትብል እግዚኦ ወይቤሎ ጸሎትከ ወምጽዋትከ ዐርገ ቅድመ እግዚአብሔር ተዝካረ ሠናየ	qorneelewos yommus fajajee isa ilaalee sodaachaa maal inni yaa gooftaa jedhee gaafate ergamichi immoo deebiseefii waaqayyo kadhata kee dhaga'eera dadhaboota gargaaruu kees yaadateera
ወእመ ቦ ዘይትሜከር ኢይበል እግዚአብሔር ያሜክረኒ እስመ እግዚአብሔር ኢያሜክር ለእኪት ወውእቱሰ ኢያሜክር ወኢመነሂ	namni yommuu qoramu qoramsi kun waaqayyo biraa anatti dhufe hin jedhin waaqayyo hamaa gochuudhaaf qoramuu hin danda'u ofii isaatiis nama tokko illee hamaadhaaf hin qoru
ወበጽሐ ሀገረ ደርቤን ወልስጥራን ወረከበ አሐደ ረድአ ዘስሙ ጢሞቴዎስ ወእሙሰ አይሁዳዊት ወአምነት ወአቡሁሰ አረማዊ	phaawulos karaa isaa itti fufee mandara derbee dhaqee mandara lisxiraattis darbe achi immoo ximotewos kan jedhamu dargaggeessi amane tokko ture haati isaa yihudii wangeelatti amantee dha abbaan isaa immoo griikii dha
ወሰሚዖ እግዚእ ኢየሱስ ይቤሎሙ ሕሙማን ይፈቅድዎ ለዐቃቤ ሥራይ ወአኮ ጥዑያን ኃጥኣነ እጸውዕ መጻእኩ ወአኮ ጻድቃነ	iyyasuuskana yommuu dhaga'e namoonni fayyaan ogeessa qorichaa hin barbaadan dhukkubsatootatu barbaada malee ani warra jireenya qajeeltoo jiraatan waamuu hin dhufne warra cubbamoota waamuufan dhufe malee isaaniin jedhe
ወይቤሎ እግዚእ ኢየሱስ አፍቅሮ ለእግዚአብሔር አምላክከ በኵሉ ልብከ ወበኵሉ ነፍስከ ወበኵሉ ኀይልከ ወበኵሉ ኅሊናከ	yommus iyyasuusdeebisee waaqayyo kee goofticha garaa kee guutuudhaan jireenya kee guutuudhaan yaada kee guutuudhaanis jaallachuutu siif ta'a
ወአልቦ ዘየዐርግ ምስሌከ ወአልቦ ዘየሀሉ ውስተ ኵሉ ደብሩ ወአባግዕኒ ወአልህምትኒ ኢይትረዐዩ ቅሩቦ ለውእቱ ደብር	namni si wajjin hin ol ba'u gaarreen hundumaa keessattis namni tokko illee hin mul'atin tulluu fi hoolonni gaara sana fuulduratti akka hin dheedan
ወምንተ ትብሉ አሐዱ ብእሲ ቦቱ ክልኤቱ ደቂቅ አኀው ወይቤሎ ለቀዳማዊ ወልድየ ሑር ተቀነይ ዮም ውስተ ዐጸደ ወይንየ	iyyasuusamma immoo waa'ee isa ani isinitti himuuf jedhu kanaa maal yaaddu namni ilmaan lama qabu tokko ture innis ilma isaa isa tokko bira dhaqee yaa ilma ko dhaqiitii har'a dhaabaa waynii keessa hojjedhu jedheen
ወአዘዝዎሙ ከመ ኢይቅትልዎሙ ዳእሙ ከመ ያሕምምዎሙ ኀምስተ አውራኀ ወሕማሞሙሰ ከመ ሕማመ ዐቅራብ ሶበ ይነድፍ ሰብአ	garuu namoota ajjeesuu utuu hin ta'in ji'a shaniif dhiphisuutu isaaniif kenname dhiphinni isaan nama irraan ga'anis akka isa torbaanqabaan hiddee nama dhiphisuu ti
ወስክርት ይእቲ ብእሲት እምደሞሙ ለቅዱሳን ወእምደሞሙ ለጻድቃኒሁ ለኢየሱስ ወአንከርክዋ ሶበ ርኢክዋ ዐቢየ ተደመምኩ	akkasumas dubartittiin dhiiga warra waaqayyoof qulqullaa'aniitiin dhiiga warra yesusiif dhugaa ba'uu isaaniitiif ajjeefamaniitiinis machooftee nan arge yeroon ishee arges guddisee nan dinqisiifadhe
እስመ ኀብረ መንፈስ ቅዱስ ምስሌነ ከመ ኢናክብድ ወኢንወስክ ባዕደ ዘእንበለ ዳእሙ ንኤዝዘክሙ ዘንተ ትኅድጉ በግብር	waan barbaachisu irra kan caalu ba'aa biraa isin irra akka hin keenyeef hafuura qulqulluutti nuttis gaarii fakkaateera
ኢትዝግቡ ለክሙ መዝገበ ዘበምድር ኀበ ይበሊ ወይማስን ወኀበ ፃፄ ወቍንቍኔ ያማስኖ ወኀበ ሰረቅት ይከርዩ ወይሰርቅዎ	iyyasuusammoo badhaadhummaa ofii keessaniif lafa irratti iddoo bilii fi daana'oon nyaatutti hattuunis cabsitee iddoo hattutti walitti hin qabatinaa
እስመ ለከርሦሙ ይትቀነዩ ወአኮ ለእግዚእነ ኢየሱስ ክርስቶስ ወበኂጣነ ነገር ወበተየውሆ ያስሕትዎሙ ለብዙኃን የዋሃን	warri wanta akkasii hojjetan kun garaa isaaniitiif yaadanii hojjetu malee kristos gooftaa keenyaaf hin hojjetan isaanis dubbii gurra namaatti tolee gaarii fakkaatuun garaa namoota garraamotaa in gowwoomsu
ሰቡዐ ዕለተ ታነጽሖ ለምሥዋዕ ወትቄድሶ ወይኩን ምሥዋዒከ ቅዱሰ ቅዱሳን ወኵሉ ዘለከፎ ለውእቱ መሥዋዕት ለይትቀደስ	guyyaa torba iddoo aarsaa sanaaf araara in gooti ​​qulqulleessi iddoon aarsaas baay'ee qulqulluu ta'a namni iddoo aarsaa tuqe qulqullaa'a
ወተንሥአ ሊቀ ካህናት በማእከለ ዐውድ ወሐተቶ ለእግዚእ ኢየሱስ ወይቤሎ አልቦኑ ዘትሰጠው እንዘ መጠነዝ ያስተዋድዩከ	yommus angafni lubootaa fuula hunduma isaanii dura dhaabatee yesusin waan jarri kun si irratti dhugaa ba'an kanaaf deebii tokko illee hin qabduu ree jedhee gaafate
ኢትስሐባ ምስለ ኃጥኣን ለነፍስየወኢትግድፈኒ ምስለ ገበርተ ዐመፃእለ ይትናገሩ ሰላመ ምስለ ቢጾሙወእኩይ ውስተ ልቦሙ	warra jal'ootaa wajjin warra hamaa godhanii wajjinis ana hin butin isaan garaa isaaniitti hamaa in yaadu afaaniin immoo nagaa namatti in dubbatu
እኩት እግዚአብሔር እንዘ አግብርተ ኀጢአት አንትሙ ተአዘዝክሙ በኵሉ ልብክሙ ለዘተውህበ ለክሙ አርኣያሁ ለዘትትሜሀሩ	waaqayyoon galanni haa ga'u isin dur garboota cubbuu turtan amma garuu qomoo barsiisa keenyaa isa itti kennamtan sanaaf garaa guutuudhaan abboomamtaniittu
ነግደ ኮንኩ ወኢተወከፍክሙኒ ዐረቁ ወኢያልበስክሙኒ ደወይኩ ወኢሐወጽክሙኒ ተሞቃሕኩ ወኢመጻእክሙ ኀቤየ ወኢነበብክሙኒ	orman ture isin akka nama keessaniitti ana hin simne qullaa koo ta'een ture isinis daara ana hin baafne dhukkubsadheen ture hidhameen tures isinis ana hin dubbifne in jedha
ወአርአያ ሥራሑ ለእግዚአብሔር ከመ ንደተ እሳት ሶበ ያንበለብል ውስተ ከተማሁ ለደብር በቅድሜሆሙ ለውሉደ እስራኤል	fiixee gaara sanaa irratti ibiddi akka ulfina waaqayyootti ijoollee israa'el duratti boba'aa ture
ወነኣምን በመንፈስ ቅዱስ እግዚእ ማሕየዊ ዘሰረፀ እምአብ ንስግድ ሎቱ ወንሰብሖ ምስለ ኣብ ወወልድ ዘነበበ በነቢያት	afuura qulqulluutti ni amannaa innis gooftaa jireenya nuuf kennudha abbaarraa kan bae abbaafi ilma wajjin tokkummaatti ni sagadnaaf ni galateeffannaan innis raajotarra bulee kan dubatee dha
ወተውህቦ ከመ ይግበር ጸብአ ምስለ ቅዱሳን ወይማኦሙ ወተውህቦ ሥልጣን ላዕለ ኵሉ አሕዛብ ወሕዝብ ወበሓውርት ወነገድ	warra waaqayyoof qulqullaa'an lolee isaan mo'uunis in kennameef gosa hundumaa irratti nama hundumaa irratti afaan hundumaa irratti saba hundumaa irrattis aboon in kennameef
ጻድቃን ይብልዎ ለክርስቶስ እንዘ ይመጽእ ላዕሌሆሙ መከራ ሥጋ ኄር ውእቱ አምጣነ ይኩን ዝ መከራ ሕይወተ ነፍሳቲሆሙ	qajeeloonni gidiraa foonii yommuu rakkatan dhiphinni kun fayyina lubbuu isaaniitiif waan taeef kiristoos gaarii dha jedhu
ወእንዘ የሐውር በፍኖት መጽአ አሐዱ ብእሲ ወሰገደ ሎቱ ወይቤሎ ሊቅ ኄር ምንተ እግበር ከመ እረስ ሕይወተ ዘለዓለም	iyyasuusadeemuudhaaf karaa irra yommuu bu'utti namichi tokko itti fiigee fuula isaa durattis jilbeenfatee yaa barsiisaa gaarii jireenya bara baraatti galuudhaaf maal gochuutu anaaf ta'a jedhee gaafate
ወትትሜጠዎ እምእደዊሆሙ ወትቄርቦ ውስተ መሥዋዕት ለመዐዛ ሠናይ ለቅድመ እግዚአብሔር ወፍርየት ውእቱ ለእግዚአብሔር	harka isaanii irraa ni fudhatta waaqayyo duratti urgooftuu miaawaa taee aarsaa gubamaa wajjin iddoo aarsaa irratti ni gubdu inni aarsaa ibiddaan waaqayyoof dhihaatudha
ወኢ በርእስክሙ ኢትምሐሉ ወኢ በሥዕርተ ርእስክሙ እስመ ኢትክሉ አሐተ እምሥዕርተ ርእስክሙ ኢ አጻዕድዎ ወኢ አጽልሞ	mataa keetiinis hin kakatin rifeensa tokko addeessuu yookiis gurraachessuu hin dandeessu
ከመ አልቦ ዘይብል በስመ ዚኣሁ ተጠመቅነ ወባሕቱ አጥመቁ ቤተ እስጢፋኖስ ወኢየአምር እንከ ለእመ ቦ ባዕድ ዘአጥመቁ	egaa namni maqaa phaawulositti cuuphamtan isiniin jechuu hin danda'u
ወዐጸደሰ ጸናፌ ኅድግ ወኢትመጥን እስመ ተውህበት ለአሕዛብ በዛ ሀገር ቅድስት ወይትካየድዋ አርብዓ ወክልኤተ አውራኀ	garuu oobdii mana qulqullummaa safaruu dhiisi inni warra saba waaqayyoo hin ta'initti kennameera isaan immoo ji'a afurtamii lamaaf mandara qulqullaa'aa sana dhidhiituuf jiru
ወነገረ ዚኣክሙሰ ተሰምዐ በኵለሄ ወአነሂ እትፌሣሕ በእንቲኣክሙ ወእፈቅድ ለክሙ ትጥበቡ ለሠናይ ወትትገኀሥዎ ለእኩይ	namoonni hundinuu wangeelaaf abboomamuu keessan dhaga'aniiru kanaafis ani waa'ee keessaniif nan gammada wanta gaariidhaaf yaada ogummaa akka qabaattan wanta hamaadhaaf garuu yaada haxxumaa akka isin hin qabaanne nan barbaada
ወሰማዕኩ ኍልቆሙ ለእለ ተኀትሙ ዐሠርቱ ወአርባዕቱ እልፍ ወአርብዓ ምእት እለ ተኀትሙ እምውስተ ኵሉ ደቂቀ እስራኤል	lakkoobsa warra mallateeffamaniis nan dhaga'e gosa ijoollee israa'el hundumaa keessaa kumaatama dhibbaa fi kuma afurtamii afurtu mallateeffame
ወአምላከ ሰላም ይቀጥቅጦ ለሰይጣን በታሕተ እገሪክሙ ፍጡነ ጸጋሁ ለእግዚእነ ኢየሱስ ክርስቶስ የሀሉ ምስሌክሙ አሜን	waaqayyo inni nagaa kennu immoo dafee seexana miilla keessan jalatti in caccabsa ayyaanni gooftaa keenya yesus isinii wajjin haa ta'u
ወአስተጋብኦሙ ሙሴ ለኵሉ ማኅበሮሙ ለደቂቀ እስራኤል ወይቤሎሙ ዝንቱ ውእቱ ነገር ዘይቤ እግዚአብሔር ከመ ትግበርዎ	museen immoo walgaʼii ilmaan israaʼel hundumaa walitti qabee akkana jedhe dubbiin waaqayyo isin ajaje isa kana
ወአልቦ ዘይጠቅብ ግምደ ድርግሐ ውስተ ሥጠተ ልብስ ብሉይ ወእመአኮሰ ያነቅዖ ጥቅበቱ ሐዲስ ለብሉይ ወያዐብዮ ለሥጠቱ	homtinuu erbee haaraa takkaa hin miiccamin uffata moofaatti hin hoddhu kana yoo godhe erbichi haaraan uffata moofaa sana irraa in tarsaasa tarsa'aan isaas isa duraa irra kan caalu in ta'a
ወተሰጥዎ መልአክ ወይቤሎ አንሰኬ ብዙኀ ንዋየ ውሂብየ ረከብክዋ ለዛቲ ሢመት ወይቤሎ ጳውሎስ አንሰኬ በህየ ተወለድኩ	angafichi kumaa sun dabalee nama roomaatti lakkaa'amuu koo kana ani horii dheeraadhaan nan bitadheem jennaan phaawulos immoo ani garuu ittan dhaladhe jedhe
